year_month,article_count,mean_sentiment,std_sentiment,sentiment_intensity,tourist_arrivals,usd_lkr_rate,inflation_rate
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.07,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,195.87,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,197.5,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,197.5,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.0,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.33,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.36,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,197.0,7.01478071238195
2021-05,25.0,-0.0961073172092437,0.546100184999528,-0.3131269174779695,1497.0,196.73,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.69,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,198.0,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,198.14,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.99,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,198.85,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,198.5,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,199.0,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,199.0,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.92,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,198.52,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.69,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.53,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.53,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.5,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.05,7.01478071238195
